date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:42:54	20216/20216	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ef8-66cff489-c9f0c416aa610c99;gz%22	https://studysmartplus.online/assets/js/jquery.magnific-popup.js	studysmartplus.online/assets/js/jquery.magnific-popup.js	(from https://studysmartplus.online/)
20:42:55	177487/177487	---M-Z	200	added ('OK')	application/x-javascript	etag:%222b54f-66cff489-296b9cdd3630b523;gz%22	https://studysmartplus.online/assets/js/gijgo.min.js	studysmartplus.online/assets/js/gijgo.min.js	(from https://studysmartplus.online/)
20:42:56	2942/2942	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b7e-66cff489-f44f926b22a8888;gz%22	https://studysmartplus.online/assets/js/jquery.nice-select.min.js	studysmartplus.online/assets/js/jquery.nice-select.min.js	(from https://studysmartplus.online/)
20:42:57	10085/10085	---M-Z	200	added ('OK')	application/x-javascript	etag:%222765-66cff489-6dcd8a9c29cc1c5;gz%22	https://studysmartplus.online/assets/js/jquery.sticky.js	studysmartplus.online/assets/js/jquery.sticky.js	(from https://studysmartplus.online/)
20:42:58	1067/1067	---M-Z	200	added ('OK')	application/x-javascript	etag:%2242b-66cff489-9fa64600e6fe5445;gz%22	https://studysmartplus.online/assets/js/jquery.counterup.min.js	studysmartplus.online/assets/js/jquery.counterup.min.js	(from https://studysmartplus.online/)
20:42:59	8044/8044	---M-Z	200	added ('OK')	application/x-javascript	etag:%221f6c-66cff489-5f0f7ceee55fe167;gz%22	https://studysmartplus.online/assets/js/waypoints.min.js	studysmartplus.online/assets/js/waypoints.min.js	(from https://studysmartplus.online/)
20:43:00	3024/3024	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bd0-66cff489-6c8471afaf34e940;gz%22	https://studysmartplus.online/assets/js/contact.js	studysmartplus.online/assets/js/contact.js	(from https://studysmartplus.online/)
20:43:01	41095/41095	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a087-66cff489-53d2494fb32f0ef;gz%22	https://studysmartplus.online/assets/js/jquery.form.js	studysmartplus.online/assets/js/jquery.form.js	(from https://studysmartplus.online/)
20:43:02	21068/21068	---M-Z	200	added ('OK')	application/x-javascript	etag:%22524c-66cff489-ef078c510c0c3f55;gz%22	https://studysmartplus.online/assets/js/jquery.validate.min.js	studysmartplus.online/assets/js/jquery.validate.min.js	(from https://studysmartplus.online/)
20:43:03	1230/1230	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ce-66cff489-44ce4738b713a0ad;gz%22	https://studysmartplus.online/assets/js/mail-script.js	studysmartplus.online/assets/js/mail-script.js	(from https://studysmartplus.online/)
20:43:04	4820/4820	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212d4-66cff489-b84931ed4baf4e56;gz%22	https://studysmartplus.online/assets/js/jquery.ajaxchimp.min.js	studysmartplus.online/assets/js/jquery.ajaxchimp.min.js	(from https://studysmartplus.online/)
